CUSTOMER_ID,CITY NAME,STATE ABBREVIATION,FIPS ZIP CODE,LON,LAT,EST HOUSEHOLD INCOME V5,LENGTH OF RESIDENCE,NUMBER OF ADULTS IN LIVING UNIT,MOSAIC HOUSEHOLD,CHILDREN: AGE 0-18 VERSION 3
07509886412,MINNEAPOLIS,MN,55419,-93.2858855813092,44.912191443296,$175000-$199999,10,3,A03,Yes
57644003540,MINNEAPOLIS,MN,55431,-93.3163740666608,44.8176778449849,$25000-$34999,17,1,Q62,Not Likely
97672022407,MINNEAPOLIS,MN,55433,-93.3069362676734,45.1517850428122,$1000-$14999,00,1,Q65,Not Likely
17503836241,MINNEAPOLIS,MN,55414,-93.2207041616798,44.9734067583716,$1000-$14999,01,1,O53,Not Likely
67555797214,MINNEAPOLIS,MN,55409,-93.2755095612241,44.9313987934866,$35000-$49999,01,1,G24,Possible
07615116039,MINNEAPOLIS,MN,55446,-93.4543959210222,45.0497621764336,$35000-$49999,02,1,K37,Not Likely
07553953366,MINNEAPOLIS,MN,55426,-93.3624607409965,44.9634702778993,$50000-$74999,00,1,G24,Possible
47582905777,MINNEAPOLIS,MN,55421,-93.2616740796672,45.04276,$1000-$14999,03,3,K40,Not Likely
07581893034,MINNEAPOLIS,MN,55420,-93.2809584911645,44.8273936095141,$25000-$34999,14,3,K40,Yes
07661128620,MINNEAPOLIS,MN,55448,-93.3097828758247,45.1908196091216,$1000-$14999,03,1,K40,Likely
17645046162,MINNEAPOLIS,MN,55434,-93.2421355337155,45.1500133651331,$35000-$49999,00,1,O51,Possible
17537949113,MINNEAPOLIS,MN,55426,-93.3770372993851,44.9528812503392,$50000-$74999,21,1,L42,Not Likely
07582732945,MINNEAPOLIS,MN,55403,-93.2815611772501,44.9640048945882,$175000-$199999,12,2,B09,Not Likely
07602075654,MINNEAPOLIS,MN,55441,-93.414370740627,44.9905980379489,$50000-$74999,22,2,J34,Likely
47567933603,MINNEAPOLIS,MN,55423,-93.2860406433168,44.8721735109662,$50000-$74999,03,3,F23,Yes
87649024169,MINNEAPOLIS,MN,55433,-93.3400744553024,45.1632837407301,$50000-$74999,37,3,E20,Yes
47525730308,MINNEAPOLIS,MN,55403,-93.2791261743981,44.96772,$25000-$34999,03,1,O54,Not Likely
47672061815,MINNEAPOLIS,MN,55437,-93.3525730761334,44.8247099544736,$35000-$49999,01,1,O54,Possible
47607001504,MINNEAPOLIS,MN,55430,-93.2972214656456,45.078324417313,$75000-$99999,08,2,D18,Likely
67649126170,MINNEAPOLIS,MN,55448,-93.2795813329172,45.1648976230269,,00,0,U00,No
